Store Number,Equipment,Quantity,Repair,Replace,Notes
19,Transmission Machine,,0,0,
19,Tire Machines,,0,0,
19,Tire Balancer,,0,0,
19,Radiator Machine,,0,0,
19,Oil Evacuator,,0,0,
19,Differential EVAC machine,,0,0,
19,BFE EVAC Machine,,,1,mising fittings doesnt have suction
19,A/C machine,,0,0,
19,Sump EVAC Machine,,0,0,
19,"Oil sumps (leaking, roller condition)",,0,0,
19,"Compressors (Operational, Down Time)",,0,0,
19,"Oil Pumps (Operational,  Down Time)",,0,0,
19,"Oil Pump Hoses (Leaking, Cracked, Worn)",10,,1,all oil hoses leaking and worn
19,"Oil Guns (Leaking, Screen operational)",3,,1,screen on oil guns taped on need replaced
19,"Oil Gun Hoses (Leaking, Cracked, Worn)",10,,,oil guns leaking up in the rollers
19,Grease Gun (Leaking),1,1,1,does not work need repairs
19,"Floor Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",,0,0,
19,"Post Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",,0,0,
19,Oil Tanks (Leaking),1,1,0,needs repairs leaking and I cant tell where
19,"Oil Tank Hoses (Leaking, Cracked, Worn)",,0,0,
19,Oil Tanks (Not In Use),,0,0,
19,Trash Cans,,0,0,
19,Water Bibb cocks (washer/coolant),,0,0,
19,"Washer Fluid pump/hoses (Operational, Leaks, Cracks)",2,,1,roller jammed wont go back in
19,Coolant pump/hoses (Operational),,0,0,
19,"Air Regulators (Operational, Leaks)",,0,0,
19,"Air hoses (Operational, Leaks, Cracks)",,0,0,
19,"Water Separators (Operational, Leaks)",,0,0,
19,Lower Bay Mop Sink Lift Pump (Operational),,,,
28,Transmission Machine ,0,,,
28,Tire Machines,1,1,,Air leak from back of machine
28,Tire Balancer,1,,,
28,Radiator Machine,1,,,1 Ordered
28,Oil Evacuator,1,,,
28,Differential EVAC machine,0,,,Want 
28,BFE EVAC Machine,1,,,
28,A/C machine,0,,,
28,Sump EVAC Machine ,0,,,
28,"Oil sumps (leaking, roller condition)",3,1,1,replace all parts on pans
28,"Compressors (Operational, Down Time)",1,,,
28,"Oil Pumps (Operational,  Down Time)",5,1,,Need rebuilt 
28,"Oil Pump Hoses (Leaking, Cracked, Worn)",5,1,,Leaking at connectors/Worn
28,"Oil Guns (Leaking, Screen operational)",5,,1,4 New Guns
28,"Oil Gun Hoses (Leaking, Cracked, Worn)",5,,1,4 Hoses
28,Grease Gun (Leaking),0,,1,Manual Guns in Place
28,"Floor Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",4,,,"Bay 2,3,4 Lift replacements"
28,"Post Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",0,,,
28,Oil Tanks (Leaking),4,,1,Leaking around pumps/connectors
28,"Oil Tank Hoses (Leaking, Cracked, Worn)",4,,1,Worn
28,Oil Tanks (Not In Use),1,,,
28,Trash Cans ,6,,,
28,Water Bibb cocks (washer/coolant),2,,1,
28,"Washer Fluid pump/hoses (Operational, Leaks, Cracks)",1,1,,System needs repairs/New piping/Reran
28,Coolant pump/hoses (Operational),1,,,System needs update
28,"Air Regulators (Operational, Leaks)",4,,1,Regulators worn/old
28,"Air hoses (Operational, Leaks, Cracks)",5,,1,Leaking air 
28,"Water Separators (Operational, Leaks)",,,,
28,Lower Bay Mop Sink Lift Pump (Operational),1,1,,Drainage system needing updates
37,Transmission Machine ,2,1,0,"#1 dual cyl needs fix, #2new machine = good"
37,Tire Machines,1,0,0,
37,Tire Balancer,1,0,0,
37,Radiator Machine,1,0,0,
37,Oil Evacuator,1,0,0,
37,Differential EVAC machine,1,0,0,evac canister
37,BFE EVAC Machine,1,0,0,
37,A/C machine,1,1,0,needs service - sometime doesn? complete recharge
37,Sump EVAC Machine ,0,0,0,sumps gravity drain
37,"Oil sumps (leaking, roller condition)",3,1,0,need new adapters (cam locks)
37,"Compressors (Operational, Down Time)",2,0,0,has backup compressor
37,"Oil Pumps (Operational,  Down Time)",5,0,0,
37,"Oil Pump Hoses (Leaking, Cracked, Worn)",5,0,0,replaced 1 - others no leaks currently
37,"Oil Guns (Leaking, Screen operational)",5,0,0,replaced 1 - others no issues currently
37,"Oil Gun Hoses (Leaking, Cracked, Worn)",5,0,0,
